  index	           x	       x_err	           y	       y_err	        dist	    dist_err
      0	  0.00000000	  0.00000000	  0.00000000	  0.00000000	  0.00000000	  0.00000000
      1	 -2.62044543	  2.19367233	-10.43208172	  3.77658132	 10.90049669	  3.99361988
      2	 -3.11785308	  2.73095200	-19.41865332	  2.11454837	 19.87331432	  1.94573798
      3	 -0.78373575	  3.64268426	-20.41149828	  1.90075485	 20.74167129	  1.97701624
      4	 13.36450163	  4.22917105	-22.62573131	  1.86265877	 26.56110889	  2.52913057
      5	 23.60302336	  3.65627795	-27.74613387	  1.75519517	 36.49188206	  3.42670079
      6	 22.48010425	  3.01296155	-24.79099532	  2.76160488	 33.67262138	  1.67556090
      7	 20.24574423	  4.19361008	-17.57037349	  1.70374585	 26.94444956	  3.61855460
      8	 18.12400129	  2.02167901	-15.25338458	  2.32707968	 23.77187873	  2.35487398
      9	 28.93060067	  5.92032343	-15.66937634	  1.80727759	 33.09187923	  5.07474341
     10	 34.98088070	  1.36917678	 -8.48040880	  1.76250343	 36.02809531	  1.59272077
     11	 25.26374532	  3.52239889	 -4.83482015	  2.23651930	 25.78838445	  3.74177139
     12	 33.56117243	  5.50612731	 -4.44337254	  1.60917771	 33.87124166	  5.63398028
     13	 36.94350206	  3.60456545	 -1.65640095	  2.71891654	 37.08818891	  3.52386876
     14	 45.89041401	  1.46765016	  0.33501916	  2.62636585	 45.96629613	  1.48113148
     15	 53.88670173	  4.05007199	 -1.89443708	  4.48278307	 54.09144499	  4.24022649
     16	 59.43678651	  2.18945243	 -1.59856179	  2.06141272	 59.49439724	  2.17871812
     17	 58.34051355	  1.74322215	  8.25196168	  3.09032726	 59.00273562	  1.72526191
     18	 59.26703367	  2.98952952	  4.61062590	  1.93949699	 59.47771366	  2.98992703
     19	 66.04746095	  2.26771119	  3.08966510	  1.51927879	 66.13820760	  2.23636874
     20	 62.74778650	  2.82600070	 10.29800987	  3.99227098	 63.73188999	  2.34615093
     21	 64.43962560	  1.93544767	 17.91464151	  2.88538623	 66.92611757	  2.52307872
     22	 62.20053652	  1.23431361	  8.01954178	  1.97801831	 62.74774664	  1.17310372
     23	 63.99227024	  1.77638691	  9.46305869	  1.97600606	 64.71577597	  1.86778525
     24	 67.29358456	  1.50680490	  5.63839843	  5.44256360	 67.74886654	  1.48361121
     25	 67.96948176	  1.96849474	 -4.64612286	  2.85366918	 68.18542889	  2.05002304
     26	 75.73513329	  5.71941450	 -6.58452697	  3.79357515	 76.09291306	  6.01148124
     27	 85.13635293	  1.82620753	-10.51113159	  2.50087974	 85.81906546	  1.83300666
     28	 95.72986704	  4.71884494	 -9.32373056	  1.47915668	 96.19265658	  4.75053853
     29	102.47393895	  2.21984389	-17.24796772	  3.49795335	103.96522397	  2.60694145
     30	104.54223239	  1.78363355	-27.16797659	  3.62443637	108.07244049	  1.96030574
     31	103.11689200	  1.82509702	-37.27956107	  2.51402340	109.67536975	  1.95541578
     32	 95.18477858	  5.49584299	-38.10708452	  2.52931349	102.54266750	  5.82194319
     33	 91.09081736	  1.66236055	-32.64671122	  4.68692603	 96.87911541	  1.58507898
     34	 92.73988346	  1.20980854	-22.95371973	  2.85653514	 95.57885152	  1.36594475
     35	 88.63430327	  4.25827465	-13.96839956	  2.56033346	 89.75174976	  4.52410532
     36	 83.92582394	  1.80038162	-14.27211997	  3.62174302	 85.21462762	  1.43630379
     37	 81.91419609	  2.73130174	-16.80909701	  1.45190913	 83.64015136	  2.52475623
     38	 85.09431924	  2.56931932	-16.76950287	  2.29243370	 86.77271755	  2.14744908
     39	 82.58222389	  1.77573234	-23.26017655	  5.36697936	 85.93424250	  2.85011835
     40	 83.50207029	  1.48199211	-28.99176627	  2.19486478	 88.41620692	  1.64509571
     41	 75.91438325	  1.98448443	-24.10246109	  2.08448371	 79.66501555	  2.38553214
     42	 70.81414084	  2.76692517	-20.20338021	  4.58653951	 73.75424843	  3.43833861
     43	 65.43904992	  2.71901837	 -7.17308822	  3.11442607	 65.90237796	  2.77339856
     44	 66.98854412	  2.21592757	-14.80131676	  2.20521111	 68.63229536	  2.43420328
     45	 68.33552237	  1.73136856	-25.01064326	  6.24975908	 72.99773630	  2.94338504
     46	 80.61853707	  4.93826345	-23.92284328	  7.15402902	 84.48779825	  3.00490837
     47	 76.98292427	  2.44438478	-10.63393701	  1.76803778	 77.73507227	  2.41055184
     48	 74.39401855	  1.38564413	-15.92728830	  2.50899334	 76.11700638	  1.60153215
     49	 78.21434569	  1.58894488	-23.66248352	  2.25888954	 81.74559146	  1.63786506
     50	 78.44196820	  2.64330669	-37.48804782	  4.18673078	 86.99937516	  3.75774020
     51	 81.58522287	  4.15578360	-43.15869667	  1.29182433	 92.32055932	  3.83084349
     52	 78.14077583	  5.34775535	-47.27303799	  2.62596637	 91.44872371	  3.65322964
     53	 67.95989661	  1.47949704	-52.58436410	  3.74143435	 85.99135087	  2.31034933
     54	 71.47972667	  2.53733223	-47.41944649	  2.58711553	 85.83228603	  1.97613917
     55	 76.29724187	  1.37329109	-46.94609008	  1.60639940	 89.59133411	  1.75036848
     56	 76.58069880	  2.88647763	-42.65276176	  2.67717242	 87.71376284	  2.37830370
     57	 65.26799382	  3.56669854	-48.63111910	  1.69878682	 81.43126536	  3.07457297
     58	 65.66730585	  2.59296392	-48.50376526	  1.35777387	 81.66179469	  2.17453500
     59	 67.29810005	  2.67024057	-44.04758883	  1.30523258	 80.44001458	  2.73170692
     60	 67.82054655	  2.40642557	-46.17415495	  2.35354509	 82.08632062	  2.20116904
     61	 70.74302666	  2.61824098	-45.99972850	  1.86043675	 84.40827573	  2.47189040
     62	 76.49952259	  2.72648471	-44.64623943	  2.49940917	 88.63550864	  1.70030147
     63	 72.34801809	  2.60327055	-28.74663599	  5.49648440	 77.96559297	  4.35424771
     64	 67.29341946	  4.96462321	-21.59387597	  1.41993759	 70.70923256	  4.64412741
     65	 54.61014346	  3.13872394	-16.70457111	  3.16492444	 57.18051931	  3.40103094
     66	 53.76807346	  1.85389861	-11.94538718	  2.23013665	 55.12547344	  1.81400810
     67	 49.88144499	  1.30876375	 -8.01150118	  2.05662476	 50.55823090	  1.46647936
     68	 45.09312479	  1.74490477	  0.22653069	  6.06106090	 45.49799526	  1.77617533
     69	 47.20573360	  2.05428530	  9.95282266	  1.00043215	 48.25401328	  2.05210118
     70	 43.30837377	  1.94588826	 12.88594281	  4.18129365	 45.36562005	  2.21200732
     71	 39.31341527	  1.54231813	 24.88002045	  2.07495175	 46.57264089	  1.49443251
     72	 45.30197226	  3.16073465	 25.41668625	  2.12342570	 51.95704238	  3.63889522
     73	 52.95903950	  1.40102104	 27.80805861	  1.76202582	 59.83484184	  1.67549570
     74	 57.69129323	  3.36343072	 25.30908556	  1.30895745	 63.01704921	  3.27302157
     75	 68.33730648	  2.72179270	 35.61983215	  4.29391712	 77.13581976	  3.83028595
     76	 59.98747928	  2.50697015	 34.40918485	  2.21327026	 69.21147454	  1.85605213
     77	 55.86686269	  2.34083037	 36.19044968	  3.02145584	 66.62905130	  2.45625723
     78	 50.81720603	  1.83699992	 45.14975662	  4.10921108	 68.10106693	  1.84223231
     79	 55.21636969	  3.24405290	 45.81472487	  1.28874048	 71.79695674	  2.28434474
     80	 63.63516987	  2.25029107	 41.63642141	  3.43402390	 76.13936866	  1.63685747
     81	 59.23406820	  1.47163105	 40.72096845	  3.06284463	 71.94545839	  1.50659868
     82	 60.15099901	  1.46956606	 40.46216026	  1.74530193	 72.51082828	  1.64759811
     83	 63.69860744	  2.30230437	 42.05924037	  1.52511965	 76.35450675	  2.02686583
     84	 61.31576700	  1.75486689	 34.43373270	  1.89932603	 70.35219387	  1.60032636
     85	 69.13968436	  2.53833800	 34.46073753	  1.22214301	 77.27262067	  2.17192843
     86	 79.48050527	  3.30236275	 32.99273432	  2.05593496	 86.10627432	  2.55210238
     87	 89.35109139	  4.87878085	 30.95014774	  1.67553240	 94.59901250	  4.37789023
     88	 87.16913043	  2.54184298	 24.06491959	  1.45396468	 90.44614821	  2.37632240
     89	 92.73654619	  6.04221417	 25.08730647	  2.53320048	 96.09671642	  6.14707209
     90	 96.63706820	  2.56046650	 28.23197112	  2.47013607	100.70106799	  2.77841856
     91	 95.00779147	  3.28536179	 27.02271048	  2.89300769	 98.82630712	  3.03832835
     92	 96.25707610	  4.09761825	 23.49167977	  2.64662580	 99.12530679	  3.90542903
     93	 93.18271120	  2.74511075	 28.57637115	  2.31846032	 97.48248551	  3.11489394
     94	 95.76683007	  2.96789303	 33.78956825	  2.31583838	101.58528369	  2.76085118
     95	 97.66235561	  1.44306470	 32.78316259	  4.06978676	103.08619623	  2.13382250
     96	100.47670815	  1.91837481	 38.93923583	  1.84277490	107.77112774	  2.07194907
     97	106.48179859	  2.16812462	 37.95343298	  2.66831633	113.08424972	  1.61544032
     98	108.14797010	  1.63530120	 33.14760996	  1.25039175	113.12005480	  1.68474742
     99	113.90459551	  3.49604056	 35.26305850	  2.59984955	119.25415303	  3.89469821
    100	121.63151120	  3.57401974	 35.02509675	  3.25197161	126.63767164	  2.68904744
    101	129.93334345	  1.85761490	 29.14699081	  1.78057775	133.17202717	  2.01325169
    102	125.57107973	  1.70930404	 33.73209535	  2.63771040	130.04738364	  1.87284936
    103	125.48300071	  1.48180688	 37.32097264	  1.95799421	130.93042844	  1.44598314
    104	121.79185659	  3.27274960	 33.19673834	  4.25143425	126.28709007	  3.95426773
    105	121.12087455	  1.60985800	 30.56673610	  1.33554246	124.92590900	  1.57612965
    106	122.83041571	  2.44855697	 26.35757471	  4.61489646	125.71989023	  1.95823137
    107	130.18591422	  2.50094258	 23.54201847	  2.29488610	132.31258143	  2.73877808
    108	129.50920767	  3.67014120	 27.14999693	  2.95844806	132.35942120	  3.60044124
    109	132.67633864	  1.60250108	 34.78018973	  5.02704226	137.25161065	  1.58334187
    110	127.54727269	  1.98851467	 46.71870020	  1.64864963	135.84812511	  1.70377831
    111	124.84226988	  2.80619204	 54.30400574	  2.05873840	136.15257059	  3.01795089
    112	121.61692091	  1.54636435	 52.76673797	  1.16613738	132.57863296	  1.28890939
    113	127.32443576	  2.42251054	 52.13868340	  2.14251124	137.59507141	  2.83010297
    114	136.45503895	  2.50279899	 54.61082819	  2.33135191	146.98550795	  3.04628750
    115	138.23710473	  2.79879483	 55.05499688	  2.66843211	148.82950349	  2.29836421
    116	147.49240821	  1.00681734	 50.91911066	  3.57800602	156.06985391	  1.66817785
    117	155.07219779	  2.20579125	 43.14002293	  3.38281587	160.98968747	  2.66037461
    118	151.89605474	  1.45480580	 37.23337615	  1.30056343	156.39738299	  1.54992387
    119	148.51513285	  2.89793733	 44.67300246	  3.09608616	155.11439771	  3.15107061
    120	141.78544733	  2.42612239	 45.30493547	  1.77863539	148.86346679	  2.09000567
    121	131.35558658	  1.78915139	 44.86827147	  1.77600201	138.81545756	  2.01888530
    122	129.10074559	  1.59281748	 40.61686226	  2.17515897	135.35355026	  1.84846602
    123	126.11104456	  2.02356590	 39.18417509	  2.14258340	132.07127138	  2.29344641
    124	127.54274311	  1.53676269	 41.12104892	  2.51275722	134.03316352	  1.37063887
    125	129.19375591	  1.67440672	 44.28860476	  1.52301432	136.58427451	  1.53825987
    126	128.16667487	  2.88990601	 39.83960332	  2.25730250	134.23745403	  2.76467818
    127	124.29139245	  2.16442349	 44.67989092	  2.91294379	132.11805402	  1.62254794
