     i	           x	          dx
     1	  1.37472985	  0.10039784
     2	  1.34846004	  0.03353843
     3	  1.36037409	  0.05209823
     4	  1.27462759	  0.05955028
     5	  1.32423760	  0.07256266
     6	  1.31396917	  0.07263913
     7	  1.26625695	  0.06624088
     8	  1.31647107	  0.06144423
     9	  1.24599955	  0.06126485
    10	  1.16436682	  0.07351771
    11	  1.42578721	  0.04684858
    12	  1.35516950	  0.05993412
    13	  1.28653112	  0.10676905
    14	  1.31099236	  0.08400751
    15	  1.31840781	  0.06501253
    16	  1.32911591	  0.08659326
    17	  1.29074720	  0.06043321
    18	  1.30030446	  0.08449595
    19	  1.28666194	  0.05931455
    20	  1.22333536	  0.06204529
    21	  1.30338855	  0.06608090
    22	  1.30011657	  0.06129383
    23	  1.36091580	  0.05996592
    24	  1.30271763	  0.08886496
    25	  1.31506611	  0.04795077
    26	  1.40378995	  0.09385718
    27	  1.33199472	  0.05897990
    28	  1.38507459	  0.07465154
    29	  1.30912794	  0.09289595
    30	  1.28249298	  0.08285193
    31	  1.37705343	  0.08385797
    32	  1.31328851	  0.07433451
    33	  1.17674010	  0.10798538
    34	  1.32308368	  0.07629998
    35	  1.27573015	  0.06443257
    36	  1.40537510	  0.08933947
    37	  1.35401310	  0.06193111
    38	  1.22371041	  0.07046200
    39	  1.40644583	  0.09022955
    40	  1.35374141	  0.10868974
    41	  1.23408164	  0.05955765
    42	  1.25482313	  0.07574639
    43	  1.22696145	  0.04934797
    44	  1.19350271	  0.08004185
    45	  1.31982358	  0.13533792
    46	  1.27586563	  0.06251401
    47	  1.18245950	  0.08442337
    48	  1.27162503	  0.08394953
    49	  1.34954589	  0.04054542
    50	  1.33588267	  0.05372749
    51	  1.30054346	  0.07581845
    52	  1.31086404	  0.05405746
    53	  1.25450835	  0.06370300
    54	  1.33801748	  0.06408752
    55	  1.22085986	  0.07319062
    56	  1.31126962	  0.09238721
    57	  1.22826424	  0.07157899
    58	  1.25295158	  0.05256284
    59	  1.18029925	  0.09142247
    60	  1.25466544	  0.06812727
    61	  1.20762231	  0.11236604
    62	  1.18908650	  0.05899613
    63	  1.37271017	  0.05778022
    64	  1.32980368	  0.07803938
    65	  1.34224601	  0.09140849
    66	  1.27527588	  0.07712647
    67	  1.19950453	  0.06105517
    68	  1.32367138	  0.07270445
    69	  1.34156306	  0.06066777
    70	  1.30319249	  0.09485371
    71	  1.38166526	  0.07765768
    72	  1.28874775	  0.08680806
    73	  1.28564561	  0.06510440
    74	  1.29157397	  0.05012010
    75	  1.25842050	  0.05797186
    76	  1.25300390	  0.05996140
    77	  1.33818209	  0.08031070
    78	  1.27890238	  0.08223235
    79	  1.20742611	  0.08748962
    80	  1.25639903	  0.12229544
    81	  1.37707839	  0.08566849
    82	  1.33068403	  0.06046020
    83	  1.25936738	  0.10024112
    84	  1.32154923	  0.06700664
    85	  1.33056873	  0.07529031
    86	  1.26364252	  0.07055902
    87	  1.31114941	  0.05700956
    88	  1.31325902	  0.11517241
    89	  1.34344228	  0.07385360
    90	  1.13439361	  0.11156503
    91	  1.26518986	  0.07282212
    92	  1.33352363	  0.04788726
    93	  1.27688375	  0.09716541
    94	  1.31199922	  0.06029930
    95	  1.27334236	  0.08345096
    96	  1.15519360	  0.05032294
    97	  1.27994542	  0.07067346
    98	  1.19027418	  0.05557858
    99	  1.31781071	  0.09623194
   100	  1.35118449	  0.09640024
   101	  1.29178041	  0.06160662
   102	  1.27303069	  0.07938798
   103	  1.35766341	  0.10950244
   104	  1.43033888	  0.07809912
   105	  1.25334236	  0.09533026
   106	  1.19167671	  0.06507946
   107	  1.25346608	  0.05128890
   108	  1.29587576	  0.06365944
   109	  1.27380745	  0.08319537
   110	  1.42854768	  0.12378889
   111	  1.34430810	  0.06269141
   112	  1.31370444	  0.11089308
   113	  1.34935415	  0.06473014
   114	  1.31087247	  0.06913580
   115	  1.36690303	  0.04916061
   116	  1.36683860	  0.07983530
   117	  1.44140282	  0.06526982
   118	  1.27815401	  0.05426337
   119	  1.31425327	  0.08952570
   120	  1.40745150	  0.10211581
   121	  1.39529382	  0.07405801
   122	  1.32678465	  0.08467802
   123	  1.30898978	  0.06604952
   124	  1.33582565	  0.08993390
   125	  1.35057598	  0.07218345
   126	  1.35721617	  0.07730431
   127	  1.35884383	  0.10274483
   128	  1.27702111	  0.12446440
   129	  1.13679867	  0.05832833
   130	  1.36882748	  0.07605005
   131	  1.26309911	  0.14038192
   132	  1.21334772	  0.07489798
   133	  1.35054461	  0.08120778
   134	  1.24859488	  0.09199073
   135	  1.15244121	  0.08029541
   136	  1.35162506	  0.07327629
   137	  1.37774180	  0.06294625
   138	  1.37826250	  0.09171530
   139	  1.32815333	  0.07735466
   140	  1.30251324	  0.06599474
   141	  1.27939029	  0.14368700
   142	  1.27036815	  0.07740016
   143	  1.20899581	  0.09315520
   144	  1.34141517	  0.07737973
   145	  1.29131114	  0.09341973
   146	  1.30571349	  0.06829237
   147	  1.33716222	  0.06540030
