           loop#          m_mean           m_std
               0        0.012916     0.028832415
               1        0.010588    0.0073002915
               2        0.009496    0.0074824317
               3        0.010394    0.0068389739
               4        0.008374    0.0066024029
               5        0.008956    0.0061074761
               6        0.009576    0.0073451088
               7        0.008374    0.0058427839
               8        0.008768    0.0066011344
               9        0.007922    0.0057271211
              10        0.009968    0.0071107085
