            time               x               y             v_x             v_y
               1       0.6332061       0.2884878       -2.050761      -0.4390727
               2      -0.4717833       0.8784267        -0.12868        -1.24851
               3       -1.104619       0.3482397        1.654265       0.5742495
               4       0.7108587      0.04494113        2.188848       -1.233241
               5        1.088484      -0.2164088         1.40566       -1.133443
               6        1.960653       -1.689048        1.223734        1.627864
               7      -0.2340293        0.545186       0.9617777      -0.3835353
               8      -0.6180163      -0.3882473      -0.3001228       -1.478236
               9      -0.5601903       -1.407131       0.6980296       0.6330237
              10        1.504831       -1.077285         1.67534       0.6637521
              11          2.8926       -1.422267        1.602108      -0.2535469
              12        2.652219      -0.5192076       0.5496197       0.1918315
              13       0.4362069       0.2108126       0.5170401       0.1073134
              14        1.918403        1.264309       0.1566866       0.3357644
              15        1.149244        3.267493         2.66583       0.5341058
              16        2.091353        2.454413       0.8215249        1.124332
              17        3.381657        3.938455       0.9614909      -0.5502044
              18        3.294009        3.140598       -1.063899       0.5128673
              19        4.643227        3.794446       -1.207277     -0.01684006
              20        4.281186        4.038482      -0.5751751       0.8056903
              21         2.91565        5.772857       0.8146358        0.159233
              22        3.473516        6.847554       0.1618777      -0.2855973
              23        3.592044        6.208365      0.08359692       0.6811003
              24        3.317704        6.834793      -0.6494632       0.9896338
              25        3.362329        7.194424      -0.7269495        2.000068
              26        2.440638        6.495342      -0.6507341        1.250008
              27         2.13657        7.520622       -1.412914        1.611679
              28        1.283607        8.639178       0.2526295       -1.066359
              29         1.17929        7.886984        1.247209       -1.352495
              30        2.416215        6.636112       0.3997875       -2.462125
              31        2.387281        6.564297        2.158128       -1.181346
              32       0.9242968        6.262614     -0.01525804       0.6380541
              33        1.035779        7.169341        1.296416       0.1350846
              34        2.357316        8.642325        1.603566      -0.8691527
              35        3.024064        8.353393       0.1737551       0.7522798
              36        3.404675         8.35717      -0.3071151        1.423588
              37        4.191853        8.047238       -1.509045       0.3385202
              38        6.070918        6.684035       -1.482435       -0.518335
              39        7.948561        6.755176      -0.1727005      -0.2860745
              40        8.598858        6.457307        1.636401        0.651098
              41        8.190373        7.325491       0.3950809      -0.7131079
              42        7.602552          5.5557      -0.2838906       0.2348175
              43        7.205801        7.572913       -1.475668       -1.160743
              44        6.544051        6.706181       -2.548908      -0.2406754
              45        3.683536        6.452614       -1.177947       0.2899642
              46        3.614827        6.657198      -0.4315057     -0.03139342
              47        2.522988        6.570709      -0.4225473      -0.7603088
              48        1.912438        5.292487       0.3515431        1.011842
              49       0.4492107        4.570877        0.909745       -1.986116
              50       0.6795095        2.602346       0.2424665       -2.494545
              51        2.434029        2.875046      -0.1762342       0.5060664
              52        2.856303        2.264172       -1.364128        1.668495
              53        3.891171         1.56279       -0.258391      -0.0752839
              54        3.194582        1.493088       0.5852016       -1.198926
              55        4.122457         3.13667        1.031353    -0.001749815
              56         3.11582        3.047329        0.314168      -0.1937175
              57        1.840298        5.076904      -0.1171337        1.007009
              58         2.11162        7.254893      0.09203216         0.40192
              59        2.763539         7.74495      -0.3744753         0.82791
              60        4.721221        6.671956      -0.4733386      -0.2497324
              61        4.324261        7.148651      -0.1134334       0.7700878
              62        4.965781        7.722069       0.1970453      -0.5626904
              63        6.375979        8.143737      -0.1511046      -0.2109978
              64        4.672319        9.074468      -0.3105064       -1.170019
              65        5.532604        7.685976       0.3340173       -1.389891
              66        6.962594         9.45488         2.33228       0.4649795
              67         5.34483        9.628751         1.63385      -0.7457061
              68        5.497822         7.39398       0.5249557        0.753279
              69        5.138984        8.211257       0.4737002       0.6518435
              70        3.878229        7.054941      -0.6790384       0.8310412
              71        1.389931        7.099286     -0.09525238         -1.7725
